,Date,Time,Visitor_ID,Source,Browser,Page,Action
0,2024-02-01,05:41:10,1,Referral,Edge,/de-de/nutzfahrzeuge-mieten,Click: Angebot erhalten
1,2024-02-01,05:41:10,1,Referral,Edge,/de-de/nutzfahrzeuge-mieten,Page View
2,2024-02-01,10:47:41,2,Google,Safari,/de-de/nutzfahrzeuge-mieten,Page View
3,2024-02-01,13:36:44,3,Referral,Chrome,/de-de/nutzfahrzeuge-mieten,Click: Angebot erhalten
4,2024-02-01,13:36:44,3,Referral,Chrome,/de-de/nutzfahrzeuge-mieten,Page View
5,2024-02-01,19:34:01,4,Direct,Safari,/de-de/nutzfahrzeuge-mieten,Click: Angebot erhalten
6,2024-02-01,19:34:01,4,Direct,Safari,/de-de/nutzfahrzeuge-mieten,Page View
7,2024-02-01,07:09:59,5,Social Media,Edge,/de-de/nutzfahrzeuge-mieten,Page View
8,2024-02-01,21:41:05,6,Direct,Safari,/de-de/nutzfahrzeuge-mieten,Page View
9,2024-02-01,08:50:54,7,Social Media,Safari,/de-de/nutzfahrzeuge-mieten,Click: Angebot erhalten
10,2024-02-01,08:50:54,7,Social Media,Safari,/de-de/nutzfahrzeuge-mieten,Page View
11,2024-02-01,00:38:06,8,Google,Firefox,/de-de/nutzfahrzeuge-mieten,Click: Vorteile sichern
12,2024-02-01,00:38:06,8,Google,Firefox,/de-de/nutzfahrzeuge-mieten,Page View
13,2024-02-01,12:58:32,9,Referral,Chrome,/de-de/nutzfahrzeuge-mieten,Page View
14,2024-02-02,18:39:52,10,Direct,Firefox,/de-de/nutzfahrzeuge-mieten,Click: Vorteile sichern
15,2024-02-02,18:39:52,10,Direct,Firefox,/de-de/nutzfahrzeuge-mieten,Page View
16,2024-02-02,15:33:06,11,Referral,Edge,/de-de/nutzfahrzeuge-mieten,Click: Vorteile sichern
17,2024-02-02,15:33:06,11,Referral,Edge,/de-de/nutzfahrzeuge-mieten,Page View
18,2024-02-02,13:53:07,12,Direct,Firefox,/de-de/nutzfahrzeuge-mieten,Click: Vorteile sichern
19,2024-02-02,13:53:07,12,Direct,Firefox,/de-de/nutzfahrzeuge-mieten,Page View
20,2024-02-02,12:12:55,13,Referral,Edge,/de-de/nutzfahrzeuge-mieten,Click: Angebot erhalten
21,2024-02-02,12:12:55,13,Referral,Edge,/de-de/nutzfahrzeuge-mieten,Page View
22,2024-02-02,04:28:51,14,Direct,Safari,/de-de/nutzfahrzeuge-mieten,Page View
23,2024-02-02,05:28:55,15,Social Media,Firefox,/de-de/nutzfahrzeuge-mieten,Page View
24,2024-02-02,06:29:12,16,Google,Firefox,/de-de/nutzfahrzeuge-mieten,Page View
25,2024-02-02,17:52:10,17,Social Media,Firefox,/de-de/nutzfahrzeuge-mieten,Click: Angebot erhalten
26,2024-02-02,17:52:10,17,Social Media,Firefox,/de-de/nutzfahrzeuge-mieten,Page View
27,2024-02-02,21:48:14,18,Google,Safari,/de-de/nutzfahrzeuge-mieten,Click: Angebot erhalten
28,2024-02-02,21:48:14,18,Google,Safari,/de-de/nutzfahrzeuge-mieten,Page View
29,2024-02-02,07:03:56,19,Referral,Firefox,/de-de/nutzfahrzeuge-mieten,Click: Vorteile sichern
30,2024-02-02,07:03:56,19,Referral,Firefox,/de-de/nutzfahrzeuge-mieten,Page View
31,2024-02-03,12:08:10,20,Social Media,Chrome,/de-de/nutzfahrzeuge-mieten,Page View
32,2024-02-03,00:46:03,21,Referral,Edge,/de-de/nutzfahrzeuge-mieten,Page View
33,2024-02-03,00:56:01,22,Direct,Firefox,/de-de/nutzfahrzeuge-mieten,Click: Vorteile sichern
34,2024-02-03,00:56:01,22,Direct,Firefox,/de-de/nutzfahrzeuge-mieten,Page View
35,2024-02-03,15:44:48,23,Google,Firefox,/de-de/nutzfahrzeuge-mieten,Click: Vorteile sichern
36,2024-02-03,15:44:48,23,Google,Firefox,/de-de/nutzfahrzeuge-mieten,Page View
37,2024-02-03,06:47:32,24,Direct,Edge,/de-de/nutzfahrzeuge-mieten,Click: Angebot erhalten
38,2024-02-03,06:47:32,24,Direct,Edge,/de-de/nutzfahrzeuge-mieten,Page View
39,2024-02-03,20:22:50,25,Google,Firefox,/de-de/nutzfahrzeuge-mieten,Click: Angebot erhalten
40,2024-02-03,20:22:50,25,Google,Firefox,/de-de/nutzfahrzeuge-mieten,Page View
41,2024-02-04,01:40:06,26,Google,Edge,/de-de/nutzfahrzeuge-mieten,Click: Vorteile sichern
42,2024-02-04,01:40:06,26,Google,Edge,/de-de/nutzfahrzeuge-mieten,Page View
43,2024-02-04,01:35:54,27,Direct,Edge,/de-de/nutzfahrzeuge-mieten,Page View
44,2024-02-04,04:18:13,28,Direct,Safari,/de-de/nutzfahrzeuge-mieten,Page View
45,2024-02-04,08:02:48,29,Google,Safari,/de-de/nutzfahrzeuge-mieten,Click: Angebot erhalten
46,2024-02-04,08:02:48,29,Google,Safari,/de-de/nutzfahrzeuge-mieten,Page View
47,2024-02-04,03:19:13,30,Google,Firefox,/de-de/nutzfahrzeuge-mieten,Click: Vorteile sichern
48,2024-02-04,03:19:13,30,Google,Firefox,/de-de/nutzfahrzeuge-mieten,Page View
49,2024-02-04,04:39:53,31,Social Media,Chrome,/de-de/nutzfahrzeuge-mieten,Click: Vorteile sichern
50,2024-02-04,04:39:53,31,Social Media,Chrome,/de-de/nutzfahrzeuge-mieten,Page View
51,2024-02-04,12:13:33,32,Direct,Chrome,/de-de/nutzfahrzeuge-mieten,Page View
52,2024-02-04,21:31:33,33,Referral,Firefox,/de-de/nutzfahrzeuge-mieten,Click: Vorteile sichern
53,2024-02-04,21:31:33,33,Referral,Firefox,/de-de/nutzfahrzeuge-mieten,Page View
54,2024-02-04,01:37:06,34,Social Media,Firefox,/de-de/nutzfahrzeuge-mieten,Page View
55,2024-02-04,08:27:00,35,Direct,Firefox,/de-de/nutzfahrzeuge-mieten,Page View
56,2024-02-05,17:40:28,36,Direct,Edge,/de-de/nutzfahrzeuge-mieten,Click: Vorteile sichern
57,2024-02-05,17:40:28,36,Direct,Edge,/de-de/nutzfahrzeuge-mieten,Page View
58,2024-02-05,13:04:54,37,Social Media,Firefox,/de-de/nutzfahrzeuge-mieten,Page View
59,2024-02-05,15:31:42,38,Direct,Firefox,/de-de/nutzfahrzeuge-mieten,Click: Vorteile sichern
60,2024-02-05,15:31:42,38,Direct,Firefox,/de-de/nutzfahrzeuge-mieten,Page View
61,2024-02-05,11:21:58,39,Social Media,Safari,/de-de/nutzfahrzeuge-mieten,Page View
62,2024-02-05,19:06:22,40,Social Media,Chrome,/de-de/nutzfahrzeuge-mieten,Click: Vorteile sichern
63,2024-02-05,19:06:22,40,Social Media,Chrome,/de-de/nutzfahrzeuge-mieten,Page View
64,2024-02-05,11:00:12,41,Social Media,Chrome,/de-de/nutzfahrzeuge-mieten,Click: Angebot erhalten
65,2024-02-05,11:00:12,41,Social Media,Chrome,/de-de/nutzfahrzeuge-mieten,Page View
66,2024-02-06,23:41:05,42,Google,Safari,/de-de/nutzfahrzeuge-mieten,Click: Angebot erhalten
67,2024-02-06,23:41:05,42,Google,Safari,/de-de/nutzfahrzeuge-mieten,Page View
68,2024-02-06,05:25:09,43,Social Media,Safari,/de-de/nutzfahrzeuge-mieten,Page View
69,2024-02-06,22:02:33,44,Social Media,Safari,/de-de/nutzfahrzeuge-mieten,Click: Angebot erhalten
70,2024-02-06,22:02:33,44,Social Media,Safari,/de-de/nutzfahrzeuge-mieten,Page View
71,2024-02-06,21:51:51,45,Social Media,Edge,/de-de/nutzfahrzeuge-mieten,Page View
72,2024-02-07,12:12:47,46,Social Media,Edge,/de-de/nutzfahrzeuge-mieten,Page View
73,2024-02-07,02:33:29,47,Social Media,Chrome,/de-de/nutzfahrzeuge-mieten,Click: Vorteile sichern
74,2024-02-07,02:33:29,47,Social Media,Chrome,/de-de/nutzfahrzeuge-mieten,Page View
75,2024-02-07,03:45:13,48,Social Media,Firefox,/de-de/nutzfahrzeuge-mieten,Page View
